fraud_name,real_name,negative_name
Hìllshire Brands,Hillshire Brands,H. SN
Hìllshire Brands,Hillshire Brands,L-3 Communications.
Hìllshire Brands,Hillshire Brands,Corning
Hìllshire Brands,Hillshire Brands,3M.
Loe ws,Loews,R0ckwell Coll1ns
Loe ws,Loews,McCormick
Loe ws,Loews,Puget Enèrgƴ
Loe ws,Loews,AAR
Loe ws,Loews,PulteGroup
Loe ws,Loews,NII Holdings
Time. Warner Cable,Time Warner Cable,Acuity Brands
Time. Warner Cable,Time Warner Cable,cS X
Time. Warner Cable,Time Warner Cable,UG.I
Time. Warner Cable,Time Warner Cable,Atmos Energy
Time. Warner Cable,Time Warner Cable,Belk.
Time. Warner Cable,Time Warner Cable,Alliance One International
Harris.,Harris,Global Payments
Harris.,Harris,ParPetro1eum
Harris.,Harris,Groupon
Harris.,Harris,American Eagle Outfitters
Harris.,Harris,Ta rget
Harris.,Harris,IMS Health Hòldíngs
Broadcom.,Broadcom,H0me Depot
Broadcom.,Broadcom,Simon Proper ty Group
Broadcom.,Broadcom,A1á5ka Air Group
Broadcom.,Broadcom,1HS
Broadcom.,Broadcom,Trip1e-S Management
Broadcom.,Broadcom,Cincinnatì  Fìnancial
KB H0me,KB Home,Tea mHealth Holdings
KB H0me,KB Home,Lennox International
KB H0me,KB Home,Outerwall
KB H0me,KB Home,Mercury General
KB H0me,KB Home,Energý FuturèHoldings
KB H0me,KB Home,Trium.ph Group
Weńdy's,Wendy's,Cisco Systems
Weńdy's,Wendy's,Hartf0rd Financial Services Group
Weńdy's,Wendy's,Pc Connection
Weńdy's,Wendy's,Northern Tier Energy
Weńdy's,Wendy's,Beŗry Plastics Group
Weńdy's,Wendy's,Apache
Icáhn Enterpri5es,Icahn Enterprises,Exide Technologies
Icáhn Enterpri5es,Icahn Enterprises,Exprèss
Icáhn Enterpri5es,Icahn Enterprises,therMo Fìsher Scìentific
Icáhn Enterpri5es,Icahn Enterprises,C A
Icáhn Enterpri5es,Icahn Enterprises,Curtiss-Wright
Icáhn Enterpri5es,Icahn Enterprises,Old Dòminion Frèight Line.
FírstDáta,First Data,C1marex Eñergy
FírstDáta,First Data,Moo dy's
FírstDáta,First Data,Dèlta Air Linès
FírstDáta,First Data,Co.ty
FírstDáta,First Data,Neiman Marcús Group
FírstDáta,First Data,Dòver
AllèghenyTech nol ogies,Allegheny Technologies,Sanmína
AllèghenyTech nol ogies,Allegheny Technologies,Starwood Hotels & Resorts
AllèghenyTech nol ogies,Allegheny Technologies,kR0ger
AllèghenyTech nol ogies,Allegheny Technologies,R.R. Donnel1ey & Sons
AllèghenyTech nol ogies,Allegheny Technologies,"T0ys ""R"" Us"
AllèghenyTech nol ogies,Allegheny Technologies,SpartanNäsh
LìfePoint Health,LifePoint Health,E.QT
LìfePoint Health,LifePoint Health,Berkshire Hatháway.
LìfePoint Health,LifePoint Health,Agilènt Technolgies
LìfePoint Health,LifePoint Health,Últà Salon Cosmetics & Fragrance
LìfePoint Health,LifePoint Health,Mas co
LìfePoint Health,LifePoint Health,5tarw00d Hotels & Resòrts
P NC Financial Services Group,PNC Financial Services Group,N0rtek.
P NC Financial Services Group,PNC Financial Services Group,Consolidated Edison
P NC Financial Services Group,PNC Financial Services Group,USG
P NC Financial Services Group,PNC Financial Services Group,Dîebold
P NC Financial Services Group,PNC Financial Services Group,Qua1comm
P NC Financial Services Group,PNC Financial Services Group,Cont1nental Res0urces
Arroω E1ectronics,Arrow Electronics,Covance.
Arroω E1ectronics,Arrow Electronics,Tyson. Foods
Arroω E1ectronics,Arrow Electronics,walgreens
Arroω E1ectronics,Arrow Electronics,Calu.met Specialty Pr0ducts Partners
Arroω E1ectronics,Arrow Electronics,Corning
Arroω E1ectronics,Arrow Electronics,Se1ect Medical Holdings
Wèrner Enterp rises,Werner Enterprises,T0rchmark
Wèrner Enterp rises,Werner Enterprises,Br0wnFo rman
Wèrner Enterp rises,Werner Enterprises,NRG ènergy
Wèrner Enterp rises,Werner Enterprises,Brook dale Sen1or. Living
Wèrner Enterp rises,Werner Enterprises,TECo Energy
Wèrner Enterp rises,Werner Enterprises,Mònѕanto
Mícroñ Technology,Micron Technology,Mícroñ Technology
Mícroñ Technology,Micron Technology,General M0t0rs
Mícroñ Technology,Micron Technology,Becton D1ckìnson
Mícroñ Technology,Micron Technology,Aut0Nation
Mícroñ Technology,Micron Technology,Skèchers U.S.A.
Mícroñ Technology,Micron Technology,Val spár
ÁmTrust Financial Services,AmTrust Financial Services,Holly.Frontier
ÁmTrust Financial Services,AmTrust Financial Services,Quest D1agnostics
ÁmTrust Financial Services,AmTrust Financial Services,HC C Insurance Holdings
ÁmTrust Financial Services,AmTrust Financial Services,Avnèt
ÁmTrust Financial Services,AmTrust Financial Services,Arthu r J. Gallagher
ÁmTrust Financial Services,AmTrust Financial Services,Règéneron Pharmaceuticals
Bio- Rad Labo.ratories,Bio-Rad Laboratories,Cisc0 Sy5tems
Bio- Rad Labo.ratories,Bio-Rad Laboratories,Illinoi5 Tool Work5
Bio- Rad Labo.ratories,Bio-Rad Laboratories,comerica.
Bio- Rad Labo.ratories,Bio-Rad Laboratories,Reinsurance Gròup of America
Bio- Rad Labo.ratories,Bio-Rad Laboratories,Enèrgizèr Holdings
Bio- Rad Labo.ratories,Bio-Rad Laboratories,PFiZer
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,Omn1care
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,Education Management
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,Westlake Chemical
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,POST Hold ings
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,B1ogen
ᗩmerican Eagle Outfitter5,American Eagle Outfitters,Māgellan Midstream Partners
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,Marathon Petroleum
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,Freep0rt-McM0Ràn
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,T.D AmeritradeHoldíng
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,Nèwmont Min1ng
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,tower5 Wat son
Ca l umet Specialty Pr0ducts Partnėrs,Calumet Specialty Products Partners,Alpha Natura1 Re5ources
therMo Fìsher Scìentific,Thermo Fisher Scientific,1inc0ln Electric Holdings
therMo Fìsher Scìentific,Thermo Fisher Scientific,Ritè Aid
therMo Fìsher Scìentific,Thermo Fisher Scientific,Ta rget
therMo Fìsher Scìentific,Thermo Fisher Scientific,Aa R
therMo Fìsher Scìentific,Thermo Fisher Scientific,NCR
therMo Fìsher Scìentific,Thermo Fisher Scientific,Hexion
Unum Gr0up,Unum Group,3M.
Unum Gr0up,Unum Group,Unìted Natural Foods
Unum Gr0up,Unum Group,Smárt & F inal Stores.
Unum Gr0up,Unum Group,Liƃerty Med1a
Unum Gr0up,Unum Group,Anixter Interna tionál
Unum Gr0up,Unum Group,Irón Mounta1n
Chàrles Schwáb,Charles Schwab,Fi.delity National Informatìon Services
Chàrles Schwáb,Charles Schwab,Un1tedHealth Gr0up
Chàrles Schwáb,Charles Schwab,Tho rIndustries
Chàrles Schwáb,Charles Schwab,Adams Resources & Enérgy
Chàrles Schwáb,Charles Schwab,Salesf orce.com
Chàrles Schwáb,Charles Schwab,Aflac
Cr0wn Ca5tle Internatìonal,Crown Castle International,We1s Markets
Cr0wn Ca5tle Internatìonal,Crown Castle International,Coca- Còla
Cr0wn Ca5tle Internatìonal,Crown Castle International,B rinkèr International
Cr0wn Ca5tle Internatìonal,Crown Castle International,Pënn Nationál Gaming
Cr0wn Ca5tle Internatìonal,Crown Castle International,Becton Dickinson
Cr0wn Ca5tle Internatìonal,Crown Castle International,WìllbrosGroup
Kraft. Foods Group,Kraft Foods Group,Cummíns
Kraft. Foods Group,Kraft Foods Group,Pc Connection
Kraft. Foods Group,Kraft Foods Group,Ins1ght Enterp rìses
Kraft. Foods Group,Kraft Foods Group,ARR1S Group
Kraft. Foods Group,Kraft Foods Group,Ch1quita Brands International
Kraft. Foods Group,Kraft Foods Group,Mer ck
Péter Kiewit Sons',Peter Kiewit Sons',HnI
Péter Kiewit Sons',Peter Kiewit Sons',Pepco. Holdings
Péter Kiewit Sons',Peter Kiewit Sons',Union Paci fìc
Péter Kiewit Sons',Peter Kiewit Sons',Ru5h Enterprises
Péter Kiewit Sons',Peter Kiewit Sons',Esterline Technologie5
Péter Kiewit Sons',Peter Kiewit Sons',raNge resourCes
Ele¢tronicArts,Electronic Arts,A E S
Ele¢tronicArts,Electronic Arts,ȚechData
Ele¢tronicArts,Electronic Arts,Devoñ. Energy
Ele¢tronicArts,Electronic Arts,MçKesson
Ele¢tronicArts,Electronic Arts,Valspar
Ele¢tronicArts,Electronic Arts,F1rst Solar
Ar cher Daniel5 Midlând,Archer Daniels Midland,Diplomat Pharmacy
Ar cher Daniel5 Midlând,Archer Daniels Midland,Péter Kiewit Sons'
Ar cher Daniel5 Midlând,Archer Daniels Midland,Manítowoc
Ar cher Daniel5 Midlând,Archer Daniels Midland,Exel0n
Ar cher Daniel5 Midlând,Archer Daniels Midland,Wh1ting Petroleum
Ar cher Daniel5 Midlând,Archer Daniels Midland,AI.G
Nèwmont Min1ng,Newmont Mining,Nèw Jersey Resources
Nèwmont Min1ng,Newmont Mining,QüantaServïces
Nèwmont Min1ng,Newmont Mining,Chem1ura
Nèwmont Min1ng,Newmont Mining,Ca1eres
Nèwmont Min1ng,Newmont Mining,Nationwide.
Nèwmont Min1ng,Newmont Mining,Třavelers Cos.
SCANa,SCANA,Puget Energy
SCANa,SCANA,Statè Stree1 Corp.
SCANa,SCANA,T esoro
SCANa,SCANA,Sèmprà Energy
SCANa,SCANA,RadioShack
SCANa,SCANA,NGL EñergyPartner5
CH2M Híll,CH2M Hill,Sw1ft Transportatioñ
CH2M Híll,CH2M Hill,Patterson UTI Enèrgÿ
CH2M Híll,CH2M Hill,Snap-on
CH2M Híll,CH2M Hill,Fidel1ty Nat ional Informati0n Services
CH2M Híll,CH2M Hill,American Financial Group
CH2M Híll,CH2M Hill,D5T Systems
Cïsco. Systems,Cisco Systems,C.NO Financial Group
Cïsco. Systems,Cisco Systems,Twenty-First Centùry Fox
Cïsco. Systems,Cisco Systems,HnI
Cïsco. Systems,Cisco Systems,Levi-Stràus5
Cïsco. Systems,Cisco Systems,Devoñ. Energy
Cïsco. Systems,Cisco Systems,Són1c Automation.
Dána Holding,Dana Holding,Universal
Dána Holding,Dana Holding,Party C1ty. Holdings
Dána Holding,Dana Holding,Aràmárk
Dána Holding,Dana Holding,Wýnn Re5orts
Dána Holding,Dana Holding,Cálpine
Dána Holding,Dana Holding,International. Game Technology
United.Helth Group,UnitedHealth Group,hEaLth Net
United.Helth Group,UnitedHealth Group,Cameron Inte rnational
United.Helth Group,UnitedHealth Group,Blac kstone Group
United.Helth Group,UnitedHealth Group,Strýker
United.Helth Group,UnitedHealth Group,Regency Energy Partnèrs
United.Helth Group,UnitedHealth Group,Coúntry Financia1
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,NuStar Energy
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,Har1ey-Davidson
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,Esteè Lauder
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,MètLife
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,Paçcar
Sal1y Beauty Hold1ngs,Sally Beauty Holdings,Sandersón  Farms
Sw1ft Transportatioñ,Swift Transportation,Hawáiian H0ldings
Sw1ft Transportatioñ,Swift Transportation,Ǒld Dõminion Freight Line
Sw1ft Transportatioñ,Swift Transportation,salesf0rce.com
Sw1ft Transportatioñ,Swift Transportation,AOL
Sw1ft Transportatioñ,Swift Transportation,Rèliance Steel & Aluminum
Sw1ft Transportatioñ,Swift Transportation,Harris.
QüantaServïces,Quanta Services,Greát Pla1ns Energy
QüantaServïces,Quanta Services,Cèntene
QüantaServïces,Quanta Services,G0ldman Sachs Gr0up
QüantaServïces,Quanta Services,AΚ Steel Holding
QüantaServïces,Quanta Services,Calp1ne
QüantaServïces,Quanta Services,AmerisourceBergen
Adams Resources &Enèrgy,Adams Resources & Energy,DsW
Adams Resources &Enèrgy,Adams Resources & Energy,Hyat tHotels
Adams Resources &Enèrgy,Adams Resources & Energy,K apStone Paper & Packagi ng
Adams Resources &Enèrgy,Adams Resources & Energy,Axíall
Adams Resources &Enèrgy,Adams Resources & Energy,PPG 1ndustries
Adams Resources &Enèrgy,Adams Resources & Energy,Zimmèr Holdings
T. R0we. Price,T. Rowe Price,America n Axle & Mànufacturing
T. R0we. Price,T. Rowe Price,Emerson Elēctric
T. R0we. Price,T. Rowe Price,Whiting Petrolèum
T. R0we. Price,T. Rowe Price,Carlyle Grou.p
T. R0we. Price,T. Rowe Price,Progressive
T. R0we. Price,T. Rowe Price,Americán Electric Power
H.j. HeinZ,H.J. Heinz,Cárlisle
H.j. HeinZ,H.J. Heinz,Chevron
H.j. HeinZ,H.J. Heinz,A1eri5
H.j. HeinZ,H.J. Heinz,La5 VegasSands.
H.j. HeinZ,H.J. Heinz,Strýker
H.j. HeinZ,H.J. Heinz,Wolve rine World W1de
iHèartMedià,iHeartMedia,Exelon
iHèartMedià,iHeartMedia,Cinemark. Holdíngs
iHèartMedià,iHeartMedia,Aváya
iHèartMedià,iHeartMedia,Education Management
iHèartMedià,iHeartMedia,Hawaiian Electric Industries
iHèartMedià,iHeartMedia,Ne tApp
Simon Proper ty Group,Simon Property Group,C5T Brands
Simon Proper ty Group,Simon Property Group,nVídia
Simon Proper ty Group,Simon Property Group,Lansing Trade Group
Simon Proper ty Group,Simon Property Group,Grahàm Holdings
Simon Proper ty Group,Simon Property Group,A-Màrk Precious Metals
Simon Proper ty Group,Simon Property Group,R0ckwell Automation
PattèrsonUTI Energy,Patterson-UTI Energy,H.B. Füller
PattèrsonUTI Energy,Patterson-UTI Energy,Synnex
PattèrsonUTI Energy,Patterson-UTI Energy,T1AA-CREF
PattèrsonUTI Energy,Patterson-UTI Energy,AECOM
PattèrsonUTI Energy,Patterson-UTI Energy,QEP Resources
PattèrsonUTI Energy,Patterson-UTI Energy,Hol0gic
Republic Serv1ces,Republic Services,In5perìty
Republic Serv1ces,Republic Services,Airga.s
Republic Serv1ces,Republic Services,Salesf orce.com
Republic Serv1ces,Republic Services,Dìck's Spor ting Goods
Republic Serv1ces,Republic Services,eBáy
Republic Serv1ces,Republic Services,Á.O. Smith
D0w Chèmical,Dow Chemical,Toll Brothers
D0w Chèmical,Dow Chemical,Unitèd Technologies
D0w Chèmical,Dow Chemical,"Cimarex,Ener gy"
D0w Chèmical,Dow Chemical,Ròundy's
D0w Chèmical,Dow Chemical,Abercrombie & Fitch.
D0w Chèmical,Dow Chemical,Bemis
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,Kin der Morgan
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,DCP M1dstream Partners
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,UGI
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,Spirit AeroSystems Holdings
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,Mutuál of Amer1ca Life Insurance
C.H Rexbìn50n Worldw1de,C.H. Robinson Worldwide,Kèmper
Ae tna,Aetna,PBf Energy
Ae tna,Aetna,Old Republíc Internátional
Ae tna,Aetna,Pinnacle Foods
Ae tna,Aetna,Bristol-Myers Squíb b
Ae tna,Aetna,Mat tel
Ae tna,Aetna,Kinder Morgan
ARRIS Gr0up,ARRIS Group,D0naldson
ARRIS Gr0up,ARRIS Group,AptaðGroup
ARRIS Gr0up,ARRIS Group,5kyWest
ARRIS Gr0up,ARRIS Group,nCR
ARRIS Gr0up,ARRIS Group,Granite Construction
ARRIS Gr0up,ARRIS Group,Whole.Foods Market
Chesapeake Eńergy,Chesapeake Energy,American Tower
Chesapeake Eńergy,Chesapeake Energy,WABCO H0ldings
Chesapeake Eńergy,Chesapeake Energy,Fi.delity National Informatìon Services
Chesapeake Eńergy,Chesapeake Energy,Pařker-Han nifin
Chesapeake Eńergy,Chesapeake Energy,F0rd M0tor
Chesapeake Eńergy,Chesapeake Energy,WGL Holdings
Tenet Healthcarè,Tenet Healthcare,ParPetro1eum
Tenet Healthcarè,Tenet Healthcare,DCP Midstream Partner5
Tenet Healthcarè,Tenet Healthcare,Br1stol-Myers Squ1bb
Tenet Healthcarè,Tenet Healthcare,Ame.ren
Tenet Healthcarè,Tenet Healthcare,Natìonal Fuèl Gas
Tenet Healthcarè,Tenet Healthcare,Molina Healthcare
PPG 1ndustries,PPG Industries,PC Connection
PPG 1ndustries,PPG Industries,H-P
PPG 1ndustries,PPG Industries,Mettler-Toledo International
PPG 1ndustries,PPG Industries,Vishay Intertechnology
PPG 1ndustries,PPG Industries,Cintas
PPG 1ndustries,PPG Industries,T3tra Tech.
Marri0tt Inter national,Marriott International,Elêctronic  Arts
Marri0tt Inter national,Marriott International,Cït rix Systems
Marri0tt Inter national,Marriott International,Health Càre REIT
Marri0tt Inter national,Marriott International,Liƃerty Med1a
Marri0tt Inter national,Marriott International,Fifth Third Bancorp
Marri0tt Inter national,Marriott International,Pinnacle Entertainment
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,Hìllshire Brands
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,Family Dollar Stores
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,Panera Bread
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,C0mputer Sciences
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,Tařga Enérgy
KapSt0ne Paper & Packaging,KapStone Paper & Packaging,Sèntry Insur4nce Group
IAC/Inte rActivèCorp,IAC/InterActiveCorp,RadioShack
IAC/Inte rActivèCorp,IAC/InterActiveCorp,Oweñs & Mìnor
IAC/Inte rActivèCorp,IAC/InterActiveCorp,IÐEX
IAC/Inte rActivèCorp,IAC/InterActiveCorp,K1rby
IAC/Inte rActivèCorp,IAC/InterActiveCorp,Tétra Tech
IAC/Inte rActivèCorp,IAC/InterActiveCorp,mGm Rèsorts Internationãl
WèsternDigital,Western Digital,In tercontinental Exchange
WèsternDigital,Western Digital,NèxtEra Enèrgy
WèsternDigital,Western Digital,Regeneron. Pharmaceutical5
WèsternDigital,Western Digital,BlackRòck
WèsternDigital,Western Digital,Expre55
WèsternDigital,Western Digital,Commercial.Metals
Precisi0n Castpárts,Precision Castparts,SanDisk
Precisi0n Castpárts,Precision Castparts,HR G Group
Precisi0n Castpárts,Precision Castparts,Pařker-Han nifin
Precisi0n Castpárts,Precision Castparts,Pinnacle F00ds
Precisi0n Castpárts,Precision Castparts,Synnex.
Precisi0n Castpárts,Precision Castparts,Wa5te Connections
Applied Indu strial Technologíes,Applied Industrial Technologies,Màcy's
Applied Indu strial Technologíes,Applied Industrial Technologies,Hòlogic
Applied Indu strial Technologíes,Applied Industrial Technologies,KapSt0ne Paper & Packaging
Applied Indu strial Technologíes,Applied Industrial Technologies,Scr1pps Networks Interáctive
Applied Indu strial Technologíes,Applied Industrial Technologies,Uni sys
Applied Indu strial Technologíes,Applied Industrial Technologies,Owens-Ill1nòis
C5T Brands,CST Brands,Publix Super Mar kets
C5T Brands,CST Brands,Pool
C5T Brands,CST Brands,MarkWest Energy Partners
C5T Brands,CST Brands,Applied Industrial Technologies
C5T Brands,CST Brands,0wens-Illin0is
C5T Brands,CST Brands,Hex10n
Qüest Diagnostics,Quest Diagnostics,SunTrustBank5
Qüest Diagnostics,Quest Diagnostics,Hawa1ian Electriç Industries
Qüest Diagnostics,Quest Diagnostics,Alliance Data Sy5tems
Qüest Diagnostics,Quest Diagnostics,AECOM
Qüest Diagnostics,Quest Diagnostics,Àllergan
Qüest Diagnostics,Quest Diagnostics,agl Res0urces
American Family Insurance Gr0up,American Family Insurance Group,WA.BCO Holdings
American Family Insurance Gr0up,American Family Insurance Group,Halliburton.
American Family Insurance Gr0up,American Family Insurance Group,J.C. Penney
American Family Insurance Gr0up,American Family Insurance Group,Roundýs
American Family Insurance Gr0up,American Family Insurance Group,Vectrèn
American Family Insurance Gr0up,American Family Insurance Group,Cölfax
G-III. Apparel Group,G-III Apparel Group,Americàn Express
G-III. Apparel Group,G-III Apparel Group,Fòot Locker
G-III. Apparel Group,G-III Apparel Group,Broadcom
G-III. Apparel Group,G-III Apparel Group,Flows erve
G-III. Apparel Group,G-III Apparel Group,Nvi.dia
G-III. Apparel Group,G-III Apparel Group,rpC
JètBlue  Airway s,JetBlue Airways,Mattèl
JètBlue  Airway s,JetBlue Airways,Lab0ratory Corp.of America
JètBlue  Airway s,JetBlue Airways,Alliance One International
JètBlue  Airway s,JetBlue Airways,Silgán. Holdings
JètBlue  Airway s,JetBlue Airways,ANN
JètBlue  Airway s,JetBlue Airways,Dìck's Spor ting Goods
Arc Best,ArcBest,Phillips 66
Arc Best,ArcBest,Rent-A-Center
Arc Best,ArcBest,Americàn Express
Arc Best,ArcBest,C0mèrica
Arc Best,ArcBest,Fírst American Financial
Arc Best,ArcBest,Amkor  Techn0logy
Ryers0n Holding,Ryerson Holding,Amphenol
Ryers0n Holding,Ryerson Holding,Teledyne. Technolog1es
Ryers0n Holding,Ryerson Holding,Paccar
Ryers0n Holding,Ryerson Holding,Black5tone Group
Ryers0n Holding,Ryerson Holding,Procter & Gamble.
Ryers0n Holding,Ryerson Holding,Waste Connections
Beacón Roofing Supply,Beacon Roofing Supply,Kennámetal
Beacón Roofing Supply,Beacon Roofing Supply,Tech Da.ta
Beacón Roofing Supply,Beacon Roofing Supply,Léar
Beacón Roofing Supply,Beacon Roofing Supply,U.S. Bançorp
Beacón Roofing Supply,Beacon Roofing Supply,Cínemark H0ldings
Beacón Roofing Supply,Beacon Roofing Supply,NGL Energy Partners
An thèm,Anthem,Skechers   U.S.A.
An thèm,Anthem,MRC Gl0bàl
An thèm,Anthem,M0nde1ez Internat1onal
An thèm,Anthem,Gòodyear Tire & Rubber
An thèm,Anthem,5tryker
An thèm,Anthem,Pfižer
HD Supply Holdings.,HD Supply Holdings,Ea5tman Kodak
HD Supply Holdings.,HD Supply Holdings,Krażt Foods Group
HD Supply Holdings.,HD Supply Holdings,J.B. Hunt Transport 5ervices
HD Supply Holdings.,HD Supply Holdings,Ge neral Cable.
HD Supply Holdings.,HD Supply Holdings,Nexeo Solutio ns Holdings
HD Supply Holdings.,HD Supply Holdings,Essendant
Regi0ns Financ1al,Regions Financial,SunGard Data Systems
Regi0ns Financ1al,Regions Financial,Han0ver Insurance Group
Regi0ns Financ1al,Regions Financial,Axíall
Regi0ns Financ1al,Regions Financial,G reif
Regi0ns Financ1al,Regions Financial,EOG Resources
Regi0ns Financ1al,Regions Financial,Graham H0ldings
Extrrran Holdlngs,Exterran Holdings,HD 5upply Holdìngs
Extrrran Holdlngs,Exterran Holdings,Outerwal1
Extrrran Holdlngs,Exterran Holdings,mIcon Technology
Extrrran Holdlngs,Exterran Holdings,Science Applications International
Extrrran Holdlngs,Exterran Holdings,NuStar Énergy
Extrrran Holdlngs,Exterran Holdings,Borg Wárner
Health Càre REIT,Health Care REIT,HSN
Health Càre REIT,Health Care REIT,Teleph0ne & Data Systems
Health Càre REIT,Health Care REIT,Freep0rt-McM0Ràn
Health Càre REIT,Health Care REIT,Kell0gg
Health Càre REIT,Health Care REIT,Aa ron’s
Health Càre REIT,Health Care REIT,Aмkor Technólogy
Mage11an Midstream Partners,Magellan Midstream Partners,Noble Energy
Mage11an Midstream Partners,Magellan Midstream Partners,Publix Super Markets
Mage11an Midstream Partners,Magellan Midstream Partners,Ch ūbb
Mage11an Midstream Partners,Magellan Midstream Partners,American Airlines Group
Mage11an Midstream Partners,Magellan Midstream Partners,aK Steel Holdíng
Mage11an Midstream Partners,Magellan Midstream Partners,C0mmercial Metàls
I n tuit,Intuit,5erviceCorp. International
I n tuit,Intuit,Synnex
I n tuit,Intuit,Twentÿ-Fírst Century Fox
I n tuit,Intuit,Goog.le
I n tuit,Intuit,MWI Veter1nary Supply
I n tuit,Intuit,Harley-Davidson
Mosaïc,Mosaic,Waste Connections
Mosaïc,Mosaic,Ph 1llips 66
Mosaïc,Mosaic,MçCormick
Mosaïc,Mosaic,Arch C0al.
Mosaïc,Mosaic,Cab0t 0il & Gas
Mosaïc,Mosaic,Carpenter Techn0logy
jArden,Jarden,Harris
jArden,Jarden,Toll Brothers
jArden,Jarden,Merit0r
jArden,Jarden,Ryerson Holding
jArden,Jarden,Boise Cas cade
jArden,Jarden,0shkoshl
TD Amèrìtradè Holding,TD Ameritrade Holding,DST Sy5tems.
TD Amèrìtradè Holding,TD Ameritrade Holding,5erviceCorp. International
TD Amèrìtradè Holding,TD Ameritrade Holding,Liber.ty Interaĉtive
TD Amèrìtradè Holding,TD Ameritrade Holding,Au t0-Owners Insurance
TD Amèrìtradè Holding,TD Ameritrade Holding,KLÁ-Tencor
TD Amèrìtradè Holding,TD Ameritrade Holding,Genesco
Pàcific Life,Pacific Life,àMgen
Pàcific Life,Pacific Life,Quest D1agnostics
Pàcific Life,Pacific Life,Popular
Pàcific Life,Pacific Life,SunGard Data Systems
Pàcific Life,Pacific Life,Synopsys
Pàcific Life,Pacific Life,Un1on Pacific
Xýl em,Xylem,Western Refining
Xýl em,Xylem,"Tòys ""R"" U s"
Xýl em,Xylem,5prague Resource5
Xýl em,Xylem,Wìlliams-Sonoma
Xýl em,Xylem,Omn1care
Xýl em,Xylem,S tandard Paci fic
Linn Energy.,Linn Energy,Amica Mutuál Insurance
Linn Energy.,Linn Energy,WABCO  Holdings
Linn Energy.,Linn Energy,Blöomin' Brànds
Linn Energy.,Linn Energy,Aĺexion Pharmaceutícal5
Linn Energy.,Linn Energy,Autoliv
Linn Energy.,Linn Energy,Donaldson
Americán Electric Power,American Electric Power,AbbVie
Americán Electric Power,American Electric Power,Tysón Foods
Americán Electric Power,American Electric Power,Cigna
Americán Electric Power,American Electric Power,Starbucks
Americán Electric Power,American Electric Power,Màrtin Marietta. Materials
Americán Electric Power,American Electric Power,O 1in
Uni veςsal Forest Products,Universal Forest Products,5upervalu
Uni veςsal Forest Products,Universal Forest Products,u.S. Ban corp
Uni veςsal Forest Products,Universal Forest Products,Murphy Oi1
Uni veςsal Forest Products,Universal Forest Products,Sear5 Holdings
Uni veςsal Forest Products,Universal Forest Products,Ro bert Half Inter national
Uni veςsal Forest Products,Universal Forest Products,CBRE Group
Who1e Foods Maɾket,Whole Foods Market,Energý FuturèHoldings
Who1e Foods Maɾket,Whole Foods Market,FM Gl0bal
Who1e Foods Maɾket,Whole Foods Market,BRuNswick
Who1e Foods Maɾket,Whole Foods Market,Genera1Dynamics
Who1e Foods Maɾket,Whole Foods Market,NiSource
Who1e Foods Maɾket,Whole Foods Market,Franklin Resources
Allstate.,Allstate,New York Life Insurance
Allstate.,Allstate,Kello gg
Allstate.,Allstate,Cardinal Health
Allstate.,Allstate,Hanover Insurance Group
Allstate.,Allstate,Foot Lockér
Allstate.,Allstate,Sèlèct Med1cal Holdings
Wısconsın. Energy,Wisconsin Energy,Lennox Internatìonal
Wısconsın. Energy,Wisconsin Energy,ServiceMaster Global Holdings
Wısconsın. Energy,Wisconsin Energy,Under Ar mour
Wısconsın. Energy,Wisconsin Energy,AmTrust Financiãl Services
Wısconsın. Energy,Wisconsin Energy,Rockwell Automati on
Wısconsın. Energy,Wisconsin Energy,Motor0la Solutíons
Sämin1a,Sanmina,HNI
Sämin1a,Sanmina,C0rning
Sämin1a,Sanmina,Nationwide
Sämin1a,Sanmina,Os hkòsh
Sämin1a,Sanmina,Fossil Group
