anchor_name,positive_name,negative_names
Jones Financial,Jone5 Financial.,"['ocWen Financial', 'Voya Financial', 'Regions Financial']"
Jones Financial,J0nes Finançal,"['Regi0ns Financ1al', 'Reg¡ons Financíal', 'Regions Financial']"
Jones Lang LaSalle,Jones La ng LaSalle,"['Jones Financial', 'J0nes Finançal', 'Jonès Fìnancial']"
Jones Lang LaSalle,J0nes Láng LaSalle,"['J0nes Finançal', 'Jones Financial', 'Jonès Fìnancial']"
Jones Lang LaSalle,Jone s Lang LaSalle,"['Jones Financial', 'J0nes Finançal', 'Jonès Fìnancial']"
Joy Global,JòyGlobàl,"['FM Global', 'MRC Global', 'FM.Globál']"
Joy Global,J0y Glòbal,"['FM Global', 'FM Gl0bal', 'mRc Gl0bal']"
Joy Global,Joy Gl0bal,"['FM Global', 'FM Gl0bal', 'mRc Gl0bal']"
Juniper Networks,JuņiperNetworks,"['AMC Networks', 'AMC Networks.', 'A M C Networks']"
Juniper Networks,Jüniper Net work5,"['DISH Network', 'AMC Networks', 'DI5H Network.']"
Juniper Networks,Juñiper Networks,"['AMC Networks', 'AMC Networks.', 'A M C Networks']"
KB Home,kB Home,"['Meritage Homes', 'Homè Dep0t', 'Home Depot']"
KB Home,KB H0me,"['Ke mper', 'Kèmper', 'Kempeŕ']"
KB Home,Kß Home,"['Ke mper', 'Meritage Homes', 'Homè Dep0t']"
KBR,KB.R,"['KßR', 'KkR', 'KKR']"
KBR,KBR,"['KßR', 'KkR', 'KKR']"
KKR,KßR,"['KBR', 'KB.R', 'nCR']"
KKR,KK R,"['KBR', 'KB.R', 'nV R']"
KKR,KKR.,"['KBR', 'KB.R', 'nCR']"
KKR,KkR,"['KBR', 'KB.R', 'nCR']"
KLA-Tencor,KLÁ-Tencor,"['Tenneco', 'Tenne.co', 'Tesoro']"
KLA-Tencor,KL A-Tençor,"['Tesoro', 'Tesor0', 'Lenńar']"
KLA-Tencor,KLA-Teṅcor,"['Tesoro', 'Tesor0', 'Amerco']"
Kansas City Southern,Kansás City Southem,"['Heal thSouth', 'Landstar System', 'Landstar 5ystem']"
Kansas City Southern,Ka. nsas CitySouthern,"['Southern', 'Sout hern', 'Norfolk Southern']"
Kansas City Southern,Kánsas City S0uthern,"['Southern', 'Söuther.n', 'Sout hern']"
KapStone Paper & Packaging,KápStone Paper & Packagṙng,"['Stanley Black & Decker', 'Stan1ey Black & Decker', 'Hel merich & Paynè']"
KapStone Paper & Packaging,K apStone Paper & Packagi ng,"['Graphic Packaging Holding', 'Graphic Packaging Hold1ng', 'S\u2006tandard Paci fic']"
KapStone Paper & Packaging,KapSt0ne Paper & Packaging,"['Stàndard Pacific', 'Standard Pacific', 'Graphic Packaging Holding']"
Kar Auction Services,Kár Auction Service5,"['Primoris Services', 'Quánta Services', 'Quanta Services']"
Kar Auction Services,Kár  Auction Service5,"['Primoris Services', 'Quánta Services', 'Quanta Services']"
Kar Auction Services,Kar Auctìon Services,"['Quánta Services', 'Quanta Services', 'World Fuel Services']"
Kellogg,Kèllogg,"['Kroger', 'Hòlogic', 'Hologic']"
Kellogg,Kell0gg,"['WellsFargo.', 'Wells Fargo', 'aK Steel Holdíng']"
Kellogg,Kello gg,"['Wells Fargo', 'Kroger', 'Exelon']"
Kelly Services,Kel1y Serv1ces,"['Republic Services', 'Republic Serv1ces', 'Re.pub1ic Services']"
Kelly Services,Kelly Serv1ces.,"['Republic Serv1ces', 'Republic Services', 'WorldFuèl Services']"
Kelly Services,Kè11y Services,"['WorldFuèl Services', 'Re.pub1ic Services', 'Quánta Services']"
Kemper,Kempeŕ,"['Kennámetal', 'Kennametal', 'Kenna metál']"
Kemper,Kèmper,"['Króger', 'Kroger', 'Amerčò']"
Kemper,Ke mper,"['SemprâEnergy', 'Şempra Energy', 'Sempra Energy']"
Kennametal,Kènnametal,"['Gánnett', 'Gannett', 'Lìn colnNational']"
Kennametal,Kennámetal,"['Ventas', 'Lennar', 'Kempeŕ']"
Kennametal,Kenna metál,"['Lennar', 'Kempeŕ', 'Kemper']"
Keurig Green Mountain,Keur1g Green M0untain,"['I ron Mountain', 'Iron Mountain', 'Ir0n Mountain']"
Keurig Green Mountain,Kéurig Green Mòuntain,"['I ron Mountain', 'Iron Mountain', 'Ir0n Mountain']"
Keurig Green Mountain,Keurig Green. Móuntain,"['I ron Mountain', 'Iron Mountain', 'Ir0n Mountain']"
KeyCorp,Ke yCorp,"['News Corp.', 'Ne ws Corp.', 'pG&E Corpü']"
KeyCorp,KeyC0rp,"['Kimberly-Clárk', 'Kimberly-Clark', 'Kimber1y Clark']"
KeyCorp,Key-Corp,"['News Corp.', 'Ne ws Corp.', 'Kimberly-Clárk']"
Kimberly-Clark,K1mberly-Clark,"['Key-Corp', 'Caterpillar', 'KeyCorp']"
Kimberly-Clark,Kimberly-Clárk,"['Key-Corp', 'KeyCorp', 'KeyC0rp']"
Kimberly-Clark,Kimber1y Clark,"['KeyCorp', 'KeyC0rp', 'Key-Corp']"
Kinder Morgan,K1nder Mårgán,"['Ene rgen', 'Energen', 'Under Armour']"
Kinder Morgan,Kin der Morgan,"['Ene rgen', 'Under Armour', 'Andersons']"
Kinder Morgan,Kinder M0rgan.,"['Ene rgen', 'Andersons.', 'Energen']"
Kindred Healthcare,Kíndred Healthcare,"['Teneť Healthcare', 'Tenet Healthcare', 'Tenet. Healthcare']"
Kindred Healthcare,Kinᵈred Healthcare,"['Teneť Healthcare', 'Tenet Healthcare', 'Tenet. Healthcare']"
Kindred Healthcare,Kin.dred Healthcare,"['Teneť Healthcare', 'Tenet Healthcare', 'Tenet. Healthcare']"
Kirby,K1rby,"['Pántry', 'Pàntry', 'Pantry']"
Kirby,kirby,"['Linn Energy', 'Lin nEnergy', 'FirstEnergy']"
Kirby,Kírby,"['Pántry', 'Pàntry', 'Pantry']"
Knights of Columbus,Knighťs of Colu mbus,"['Univision Communications', 'Univi sion Communicati0ns', 'Johnson Controls']"
Knights of Columbus,Knightsof Columbus.,"['Univision Communications', 'Johnson Controls', 'Univi sion Communicati0ns']"
Knights of Columbus,Kn1ghts of Columbus,"['Johnson Controls', 'Johnson C0ntrols.', 'Màrat hon Petroleum']"
Kohl's,Kóhl's,"[""Móody's."", ""Dílard's"", ""Cabéla's""]"
Kohl's,Ko1l's,"[""McDonald's"", ""Lowe's"", ""McDonald's.""]"
Kohl's,Kohl's.,"[""McDonald's."", ""McDonald's"", ""Lowe's""]"
Kraft Foods Group,Krażt Foods Group,"['Fossil Group', 'Willbros Group', 'Wi1lbros Group']"
Kraft Foods Group,Kraft Foods Gr0up,"['Fossil Group', 'Fossil Gr0up', 'ConAgra Foods']"
Kraft Foods Group,Kraft. Foods Group,"['Fossil Group', 'Willbros Group', 'Wi1lbros Group']"
Kroger,Króger,"['Target', 'Kèmper', 'Kemper']"
Kroger,kR0ger,"['B0rgWarner', 'Strýker', 'Stryker']"
Kroger,Kr0gér,"['KeyC0rp', 'T0ro', 'Mo0g']"
L Brands,1 Brands,"['Yum Brands', 'CST Brands', 'C5T Brands']"
L Brands,L Bránds,"['Yum Brands', 'CST Brands', 'C5T Brands']"
L Brands,L Bran ds,"['Yum Brands', 'CST Brands', 'C5T Brands']"
L-3 Communications,L-3 C0mmunications,"['Level 3 Communications', 'Level 3 Commun1cations', 'Leve1 3 Communicatìons']"
L-3 Communications,L-3 Commúnications,"['Level 3 Communications', 'Level 3 Commun1cations', 'Leve1 3 Communicatìons']"
L-3 Communications,L-3 Communications.,"['Level 3 Communications', 'Level 3 Commun1cations', 'Leve1 3 Communicatìons']"
LKQ,L KQ,"['LinKedIn', 'ÁOL', 'pPL']"
LKQ,LKQ.,"['LinKedIn', 'ÁOL', 'pPL']"
LKQ,L1Q,"['ÁOL', 'pPL', 'PPL']"
LPL Financial Holdings,LPL Financia1 Holding5,"['Dana Holding', 'Älliance Holdings', 'Alliance Holdings']"
LPL Financial Holdings,LPl FinanciálHoldings,"['Älliance Holdings', 'Alliance Holdings', 'Hawa iian Holdings']"
LPL Financial Holdings,LPL Fìnancial Holdings,"['Dana Holding', 'HCC Insurance Holdings', 'HCC Insurance. Holdings']"
LVB Acquisition,LVB Acqu isition,"['Visteon', 'Lèu cádiaNational', 'L-3 Communications']"
LVB Acquisition,LVB Acquisiti0n,"['Visteon', 'Viste0n', 'Lèu cádiaNational']"
LVB Acquisition,LVB Acqui$ition,"['Lèu cádiaNational', 'L-3 Communications', 'L-3 C0mmunications']"
Laboratory Corp. of America,Lab0ratory Corp.of America,"['Packaging Corp. of America', 'Pãckaging Corp. of America', 'Packag1ng Corp. of Ámèrica']"
Laboratory Corp. of America,Laboratory C0rp. of America,"['Packaging Corp. of America', 'Pãckaging Corp. of America', 'Paçkaging Córp of Amer1ca']"
Laboratory Corp. of America,Lábórátory Corp of America,"['Pãckaging Corp. of America', 'Packaging Corp. of America', 'TravelCenters of America']"
Lam Research,1am Researcħ,"['agl Res0urces', 'Targa Resources', 'Range Resources']"
Lam Research,La mResearch,"['agl Res0urces', 'AGL Resourcès', 'AGL Resources']"
Lam Research,Lám Reseárch,"['AGL Resourcès', 'AGL Resources', 'agl Res0urces']"
Land O'Lakes,Land 0'Lakes,"['L Brands', 'L Bran ds', 'Cèlan ese']"
Land O'Lakes,Land O'Lákes,"['L Brands', 'L Bran ds', 'Cèlan ese']"
Land O'Lakes,Lánd O'Lakes,"['Ingles Markets', 'In gles Markets', ""wendý's""]"
Landstar System,Landstar 5ystem,"['Ryder System', 'SunGard Data Systems', 'SunGard Data System5']"
Landstar System,Lándstārsystem,"['Ryder System', 'Rýder Sys tem', 'Citrix Systems']"
Landstar System,Lândstàr Systèm,"['Ryder System', 'Rýder Sys tem', 'Citrix Systems']"
Lansing Trade Group,Lánsìng Trade Group,"['TriNet Group', 'Tr1Net Group', 'Èrie Insurance Group']"
Lansing Trade Group,Lansin g Trade Group,"['TransDigm Group', 'TransDigm  Gr0up', 'TransDigm Gróup']"
Lansing Trade Group,Lansing:Trade Group,"['TransDigm Group', 'TransDigm Gróup', 'TransD1gm Group']"
Las Vegas Sands,Lä sVegas Sands,"['L Brands', 'L Bran ds', 'Férellgas Partnèrs']"
Las Vegas Sands,La5 VegasSands.,"['Hanesbrands', 'L Brands', 'Ha nèsbrands']"
Las Vegas Sands,Las Véga5 Sand5,"['Le gg Mason', 'Lansin g Trade Group', 'L Brands']"
Lear,Léar,"['Lenńar', 'Lennar', 'Lenn.ar']"
Lear,1ear,"['Lenńar', 'Lennar', 'Lenn.ar']"
Lear,L.ear,"['Lenńar', 'Lennar', 'Lenn.ar']"
Legg Mason,Lęgg Mason,"['Masco', 'Mas co', 'Patrèson']"
Legg Mason,Le gg Mason,"['Towers Watson', 'Masco', 'tower5 Wat son']"
Legg Mason,Legg Mas0n,"['Loe ws', 'Lóckheed Martin', 'Lä sVegas Sands']"
Leggett & Platt,Legget t & Platt,"['Legg Mason', 'Legg Mas0n', 'Le gg Mason']"
Leggett & Platt,Leggett & PlatT,"['Legg Mason', 'Legg Mas0n', 'Le gg Mason']"
Leggett & Platt,Lèggett & Platt,"['Lęgg Mason', 'Legg Mason', 'Legg Mas0n']"
Leidos Holdings,Leidos. Holdings,"['Post Holdings', 'Sears Holdings', 'Pepco. Holdings']"
Leidos Holdings,Le1dos H0ldings,"['Post Holdings', 'Sears Holdings', 'Pepco Holdings']"
Leidos Holdings,LëidosHoldings,"['Post Holdings', 'WGL Holdings', 'Tops Holding']"
Lennar,Lenn.ar,"['Lear', 'L.ear', 'Léar']"
Lennar,Lenńar,"['Lear', 'L.ear', 'Léar']"
Lennar,lEnnar,"['Sanmína', 'Sanmina', 'Dánaher']"
Lennox International,Lennox Internatìonal,"['Lexmark International', 'WeSó International', 'Parexel International']"
Lennox International,Lènnox Interñational,"['Parèxel International', 'Lēxmark International', 'Lexmark International']"
Lennox International,Lénnox. International,"['Lēxmark International', 'Lexmark International', 'Anixter International']"
Leucadia National,Lèu cádiaNational,"['Lìn colnNational', 'Lincoln National', 'L1ncoln Natìonal']"
Leucadia National,Leucádia Nationa1,"['Lincoln National', 'Lìn colnNational', 'L1ncoln Natìonal']"
Leucadia National,Leucadia Nati0nal,"['Lincoln National', 'Lincoln Nati0nal.', 'Vulcan Mateʀials']"
Level 3 Communications,Levè1 3 Communi catìons,"['L-3 Communications', 'L-3 Communications.', 'L-3 Commúnications']"
Level 3 Communications,Level 3 Commun1cations,"['L-3 Communications', 'L-3 Communications.', 'L-3 Commúnications']"
Level 3 Communications,Leve1 3 Communicatìons,"['L-3 Communications', 'L-3 Communications.', 'L-3 Commúnications']"
Levi Strauss,Lèvì Strauss,"['L Brands', 'Starbucks', 'L Bran ds']"
Levi Strauss,Levì Strau.ss,"['L Brands', 'Starbucks', 'L Bran ds']"
Levi Strauss,Levi-Stràus5,"['Starbucks', 'Sta.rbucks', 'Meritor']"
Lexmark International,Lēxmark International,"['Lennox International', 'Baxter International', 'Parèxel International']"
Lexmark International,Lēxmark. Internati0nal,"['Lénnox. International', 'Båxter Internati0nal', 'Lennox International']"
Lexmark International,LexmarkInternationa1,"['Lennox International', 'Tower International', 'Pàrexèl Internationa1']"
Liberty Interactive,Liber.ty Interaĉtive,"['Liberty Media', 'Lexmark International', 'Brinker International']"
Liberty Interactive,Líberty. Interactive,"['Lexmark International', 'Scripps Networks Interactive', 'Scripps Netw0rks Interactive']"
Liberty Interactive,L1berty Interáctive,"['Lìberty Mediá', 'Liberty Media', 'Scripps Networks Interactive']"
Liberty Media,Liberty Mèdia,"['iHeártMedia', 'iHeartMedia', 'iHeartMedia.']"
Liberty Media,Liƃerty Med1a,"['iHeártMedia', 'iHeartMedia', 'iHeartMedia.']"
Liberty Media,Lìberty Mediá,"['iHeártMedia', 'iHeartMedia', 'Liberty Interactive']"
Liberty Mutual Insurance Group,Liberty Mutual Insurance Gròup.,"['Sentry Insurance Group', 'Amica Mutual Insurance', 'Èrie Insurance Group']"
Liberty Mutual Insurance Group,Lìberty Mut1al Insurance Gr0up,"['Sentry Insurance Group', 'Sen try Insurance Group', 'ér1e Insuran ce Group']"
Liberty Mutual Insurance Group,Liberty Mutuál Insurance Group,"['Sentry Insurance Group', 'Èrie Insurance Group', 'Erie Insurance Group']"
LifePoint Health,LifèPoint_health,"['Molina Healthcare', 'Mo1ina Health.care', 'Cárdinal Health']"
LifePoint Health,LìfePoint Health,"['Tenet Healthcarè', 'Tenet Healthcare', 'Tenet. Healthcare']"
LifePoint Health,L1fePoint Heal_th,"['Tenet Healthcarè', 'Tenet Healthcare', 'Tenet. Healthcare']"
Lincoln Electric Holdings,Lincoln Eleçtric Holdings,"['Zim mer Holdings', 'Älliance Holdings', 'Cinemark Holdings']"
Lincoln Electric Holdings,LincoIn  Electric Hóldings,"['LPL Financial Holdings', 'Zim mer Holdings', 'Select Medical Holdings']"
Lincoln Electric Holdings,1inc0ln Electric Holdings,"['Zim mer Holdings', 'Select Medical Holdings', 'Älliance Holdings']"
Lincoln National,L1ncoln Natìonal,"['Leucadia National', 'Pènn National Gáming', 'Penn National Gaming']"
Lincoln National,Lìn colnNational,"['Lènnox Interñational', 'Lennox International', 'Lèu cádiaNational']"
Lincoln National,Lincoln Nati0nal.,"['Leucadia Nati0nal', 'Leucadia National', 'Pènn National Gáming']"
LinkedIn,Linkedìn,"['Timken', 'Tim ken', 'Nike']"
LinkedIn,Linked1n,"['Timken', 'Tim ken', 'Nike']"
LinkedIn,LinKedIn,"['Ingredion', 'Ingred1on', 'Ciena']"
Linn Energy,L1nn Energy,"['SM Energy', 'EP Energy', 'Dèvon Energy']"
Linn Energy,Lin nEnergy,"['Alliant Energy', 'SM Energy', 'EP Energy']"
Linn Energy,Linn Energy.,"['Wisconsin Energy', 'Wi5consin Energy', 'Alliant Energy']"
Lithia Motors,L1thia Motors,"['Tesla Motors', 'General Motors', 'TéslaMotors']"
Lithia Motors,Lithía M otors,"['Tesla Motors', 'General Motors', 'TéslaMotors']"
Lithia Motors,Lithia Motoŕs,"['Tesla Motors', 'General Motors', 'WhiteWave Foods']"
Live Nation Entertainment,Live Nation. Enterta1nment,"['Pinnacle Enterta1nment', 'Caesars Entertainment', 'Pinnacle Entertainment']"
Live Nation Entertainment,L1ve Nat1on Entertainment,"['Caesars Entertainment', 'Regal Entertainment Group', 'Regal Entertainment Gr0up']"
Live Nation Entertainment,LívèNationEntertainment,"['Pinnacle Entertainment', 'Pinnacle Entertainme nt', 'Caesars Entertainment']"
Lockheed Martin,Lóckheed Mar tin,"['Buckeye Partners', 'Buc keye Partners', 'Buckèye Partner5']"
Lockheed Martin,L0ckheed Martin,"['Buckeye Partners', 'Buc keye Partners', 'Buckèye Partner5']"
Lockheed Martin,Lóckheed Martin,"['Buckeye Partners', 'Buc keye Partners', 'Buckèye Partner5']"
Loews,Loèws,"['Lowe’s', ""Lowe's"", ""L owe's""]"
Loews,L0ews,"['Lowe’s', ""Lowe's"", ""L0we's""]"
Loews,Loe ws,"['Lowe’s', ""Lowe's"", ""L owe's""]"
Lorillard,Lorillar.d,"['Dillard5', ""Dillard's"", 'Cátèrpillar']"
Lorillard,Loríllard,"['Dillard5', ""Dillard's"", ""D1llard's""]"
Lorillard,Lor1llard,"['Dillard5', ""Dillard's"", ""D1llard's""]"
Lowe's,L0we's,"[""wendý's"", 'Loèws', 'Loews']"
Lowe's,Lowe’s,"['Loèws', 'Loews', 'Loe ws']"
Lowe's,L owe's,"['Loèws', 'Loews', 'Loe ws']"
M&T Bank Corp.,M& T Bank Corp.,"['Bb&T Corp.', 'BB&T Corp.', 'B B&T Corp.']"
M&T Bank Corp.,M&T Bañk Corp.,"['Bb&T Corp.', 'BB&T Corp.', 'B B&T Corp.']"
M&T Bank Corp.,M&T Bànk Corp.,"['Bb&T Corp.', 'BB&T Corp.', 'B B&T Corp.']"
MDU Resources Group,MDU Re-source5 Group,"['Èrie Insurance Group', 'Erie Insurance Group', 'ér1e Insuran ce Group']"
MDU Resources Group,MDU Re5ources Group,"['P rìceline Group', 'Metaldyne Performánce Group', 'Metaldyne Performance Group']"
MDU Resources Group,MDU Res0urces Gròup,"['Èrie Insurance Group', 'Erie Insuránce Gr0up', 'Erie Insurance Group']"
MGM Resorts International,MGМ Res0rts Internati0nal,"['Tower International', 'Marriott International', 'MaRriott Internationàl']"
MGM Resorts International,MGMResorts Internatiоnal,"['Towér International', 'Tower International', 'Marriott International']"
MGM Resorts International,mGm Rèsorts Internationãl,"['Towér International', 'Tower International', 'MaRriott Internationàl']"
MRC Global,MRC Gl0bàl,"['FM Gl0bal', 'FM Global', 'Joy Gl0bal']"
MRC Global,mRc Gl0bal,"['FM Gl0bal', 'FM Global', 'Joy Global']"
MRC Global,MRC Glóbal.,"['FM Global', 'FM Gl0bal', 'Joy Global']"
MSC Industrial Direct,msc Indus trial. Direct,"['PPG Industries', 'AßM Industries', 'ABM Industries']"
MSC Industrial Direct,MSÇ Indu5trial Direct,"['AßM Industries', 'ABM Industries', 'ABM Indu5tries']"
MSC Industrial Direct,M5C Industríal Dire ct,"['AßM Industries', 'ABM Industries', 'ABM Indu\tstries']"
MWI Veterinary Supply,MWI Veterìnary Supply,"['Tractor Supply', 'Trac tor Supp ly', 'Tràctor Supply']"
MWI Veterinary Supply,MW1 Veterinary Supp1y,"['Tractor Supply', 'Tract0r Supp1y', 'Trac tor Supp ly']"
MWI Veterinary Supply,MWI Veter1nary Supply,"['Tractor Supply', 'Trac tor Supp ly', 'Tràctor Supply']"
Macy's,Mácy's,"[""Moody's"", ""M0ody's"", ""Móody's.""]"
Macy's,Màcy's,"[""Moody's"", ""M0ody's"", ""Móody's.""]"
Macy's,Mac y's,"[""Moody's"", ""Moo dy's"", ""M0ody's""]"
Magellan Health,MägelIan Health,"['Mólina Healthcare', 'Molina Healthcare', 'Cardinal Health']"
Magellan Health,Magellan Health.,"['Mólina Healthcare', 'Molina Healthcare', 'WellCare Health Plans']"
Magellan Health,MagéllanHea1th,"['M0lina Hea1thcare', 'Mólina Healthcare', 'Molina Healthcare']"
Magellan Midstream Partners,Māgellan Midstream Partners,"['DCP Midstream Partners', 'Ènable Midstream Partners', 'Enable Midstream Partners']"
Magellan Midstream Partners,Mage11an Midstream Partners,"['Ènable Midstream Partners', 'Enable Midstream Partners', 'E nable Midstream Partners']"
Magellan Midstream Partners,Magèllan Midstream Partnèrs,"['Ènable Midstream Partners', 'Enable Midstream Partners', 'E nable Midstream Partners']"
Manitowoc,Man itowoc,"['Mònѕanto', 'Monsanto', 'Mon5anto']"
Manitowoc,Man1towoc,"['Mònѕanto', 'Monsanto', 'Mon5anto']"
Manitowoc,Manítowoc,"['Mònѕanto', 'Monsanto', 'Mon5anto']"
ManpowerGroup,ManpowerGroup.,"['AptarGroup', 'Warner Music Group', 'A ptarGroup']"
ManpowerGroup,ManpowèrGroup,"['AptarGroup', 'A ptarGroup', 'Ryland Group']"
ManpowerGroup,Manp0werGroup,"['AptarGroup', 'A ptarGroup', 'Warner Music Group']"
Marathon Oil,MarathonOíl,"['Marathon Petroleum', 'Marathon. Petroleum', 'Mara thon Petr0leum']"
Marathon Oil,Marath0n Oil,"['Murphý Oil', 'Murphy Oil', 'Marathon Petroleum']"
Marathon Oil,Marathon Oíl,"['Marathon Petroleum', 'Marathon. Petroleum', 'Mara thon Petr0leum']"
Marathon Petroleum,Màrat hon Petroleum,"['Pàr Petroleum', 'Par Petroleum', 'Whiting Petroleum']"
Marathon Petroleum,Mara thon Petr0leum,"['Par Petroleum', 'Anadarko Petroleum', 'Marathon Oíl']"
Marathon Petroleum,Marathon. Petroleum,"['Par Petroleum', 'Anadarko Petroleum', 'Pàr Petroleum']"
MarkWest Energy Partners,MärkWest Energy Partners,"['NGL Energy Partners', ""NgL Energy Partner's"", 'régency energy Partners']"
MarkWest Energy Partners,MàrkWest Energý Partners,"['NGL Energy Partners', ""NgL Energy Partner's"", 'régency energy Partners']"
MarkWest Energy Partners,MarkWest Energy Partnérs.,"['NGL Energy Partners', 'régency energy Partners', 'Regency Energy Partnèrs']"
Markel,Marḱel,"['Mattel', 'Mat tel', 'Sabre']"
Markel,Märkel,"['Mêrck', 'Mèrck', 'Merck']"
Markel,Mar kel,"['NèwMarket', 'NewMarket', 'Mattel']"
Marriott International,Marri0tt Inter national,"['Navistar International', 'RPM International', 'Baxter International']"
Marriott International,MaRriott Internationàl,"['Cameron International', 'Navistar International', 'Cameron Inte rnational']"
Marriott International,Màrriott Internationàl,"['RPM International', 'Edison International', 'Cameron International']"
Marsh & McLennan,Marsh & McLennañ.,"['Barnès & noblè', 'Barnes & Noble', 'Bar nes & Noble']"
Marsh & McLennan,Mars h & McLeñnan,"['Waste  Management', 'Barnès & noblè', 'Barnes & Noble']"
Marsh & McLennan,Màrs h & McLennan,"['Lennar', 'Lenn.ar', 'Waste  Management']"
Martin Marietta Materials,Màrtin Marietta. Materials,"['Momentive Performance Materials', 'Applied Materials', 'Mo mentive Performance Materials.']"
Martin Marietta Materials,Martin Maríetta Material5,"['Marriott International', 'Marri0tt Inter national', 'Vúlcan Materials']"
Martin Marietta Materials,Mártin Marietta Materials,"['Momentive Performance Materials', 'Applied Materials', 'Marriott International']"
MasTec,MasTèc,"['Masco', 'Mas co', 'Ma5c0']"
MasTec,Ma5Tec,"['Merck', 'Masco', 'Ma5c0']"
MasTec,Mástec,"['Merck', 'Masco', 'Mósaic']"
Masco,Ma5c0,"['Watsc0', 'Wat5co', 'Mósaic']"
Masco,Mà5co,"['5ysco', 'Wat5co', 'Ma5Tec']"
Masco,Mas co,"['Watsco', 'MasTèc', 'MasTec']"
Massachusetts Mutual Life Insurance,Ma55achusetts Mutual Life Insurance,"['Penn Mutual Life Insurance', 'Penń Mutua1 Life Insurance', 'PennMu tual Life Insurance']"
Massachusetts Mutual Life Insurance,Massachusetts Mutuál Life Insurance,"['Penn Mutual Life Insurance', 'Penń Mutua1 Life Insurance', 'PennMu tual Life Insurance']"
Massachusetts Mutual Life Insurance,Massachusetts Mútual Life Insùrance,"['PennMu tual Life Insurance', 'Penn Mutual Life Insurance', 'Penń Mutua1 Life Insurance']"
MasterCard,MàsterCard,"['Mástec', 'Cáterpi11ar', 'Caterpillar']"
MasterCard,Ma5terCard,"['Caterpillar', 'Panera Bread', 'Caterpil1ar.']"
MasterCard,MasterCárd,"['Mástec', 'Mattel', 'MasTec']"
Mattel,Mat tel,"['Marḱel', 'Markel', 'Mar kel']"
Mattel,Màttel,"['Intel', 'Märkel', 'Mástec']"
Mattel,Mattèl,"['Marḱel', 'Markel', 'MarathonOíl']"
Maxim Integrated Products,Màxim Integrated Products.,"['Universal Forest Products', 'Univer5al. Forest Products', 'Uni veςsal Forest Products']"
Maxim Integrated Products,Maxím In tegrated Products,"['Universal Forest Products', 'Univer5al. Forest Products', 'Uni veςsal Forest Products']"
Maxim Integrated Products,Max1m Integratèd Products,"['Universal Forest Products', 'Univer5al. Forest Products', 'ResoluteFore5t Products']"
McCormick,MçCormick,"['Comerica', 'Mêrck', 'Mèrck']"
McCormick,McC0rm1ck,"['Mêrck', 'Mèrck', 'Merck']"
McCormick,Mc Cormick,"['Comerica', 'Mêrck', 'Mèrck']"
McDonald's,McDona1d's,"['Donaldson', 'Donal dson', ""Moody's""]"
McDonald's,mCd0na1d's,"['D0naldson', ""wendý's"", ""Wendy's""]"
McDonald's,McDonald's.,"['Donaldson', 'Donal dson', 'D0naldson']"
McGraw Hill Financial,MćGraw Hill Financial,"['Ally Financial', 'Principal Financial', 'Stifel Financial']"
McGraw Hill Financial,McGrawHill Financial.,"['Ally Financial', 'Ocwèñ Financial', 'Ocwen Financial']"
McGraw Hill Financial,McGraw Hìll Financial,"['Ally Financial', 'Ocwèñ Financial', 'Ocwen Financial']"
McKesson,McKèsson,"['Microsoft', 'Micr0soft', 'Mà5co']"
McKesson,McKe5son,"['Michaels Cos.', 'M1chaels Co5.', 'SùneDison']"
McKesson,MçKesson,"['TówersWatson', 'Hess', 'Towers Watson']"
Mead Johnson Nutrition,Mead J0hnson Nutrition,"['Ed ison In ternational', 'Johnson Controls', 'Edìson Internationál']"
Mead Johnson Nutrition,Me ad.Johnson Nutrition,"['Johnson Controls', 'Johnson C0ntrols.', 'Joh nson Control5']"
Mead Johnson Nutrition,MéadJohnson Nutrìtion,"['Johnson Controls', 'Johnson C0ntrols.', 'Joh nson Control5']"
MeadWestvaco,MèadWestvaco,"['Masco', 'Mas co', 'West']"
MeadWestvaco,MeadWestvaç0,"['West', 'Teradata', 'W est']"
MeadWestvaco,MeadWèstvaco,"['Masco', 'Mas co', 'Teradata']"
Medical Mutual of Ohio,Mèdical. Mutua1 of Ohio,"['Mutual of Omaha Insurance', 'Amica Mutual Insurance', 'Expedit0rs Internat1onal of Wáshington']"
Medical Mutual of Ohio,Medícal Mutual of Ohi0,"['Mutual of Omaha Insurance', 'Mùtual of Omaha Insurance', 'Mutuál of Omaha Insurance']"
Medical Mutual of Ohio,Medica1 Mutua1 of O hio,"['Expedit0rs Internat1onal of Wáshington', 'Mutual of Omaha Insurance', 'Amica Mutual Insurance']"
Mednax,MeDnax,"['àMgen', 'Ciena', 'Aetna']"
Mednax,Me dnax,"['àMgen', 'FedEx', 'Fe dEx']"
Mednax,Mèdnax,"['CaŕMax', 'CarMax', 'èXpedia']"
Men's Wearhouse,Mèn's Wearhouse,"['Weyerhàeuser', 'Weyerhaeuser', 'Weyer hauser']"
Men's Wearhouse,Men's Wear house,"['Weyer hauser', 'Weyerhàeuser', 'Weyerhaeuser']"
Men's Wearhouse,M3n's Wèarhouse,"['Weyerhàeuser', 'Weyerhaeuser', 'Weyer hauser']"
Merck,Mer ck,"['MçCormick', 'McCormick', 'McC0rm1ck']"
Merck,Mèrck,"['MçCormick', 'McCormick', 'McC0rm1ck']"
